Case Record ID,Campaign Code
500PU00001026IYYAY,SUBRE
500PU0000101rOQYAY,SUBRE
500PU000010206hYAA,SUBRE
500PU0000101pEWYAY,SUBRE
500PU00001029t7YAA,SUBRE
500PU00001024VGYAY,SUBRE
500PU0000101rUoYAI,SUBRE
500PU0000101CbSYAU,SUBRE
500PU0000101gL0YAI,SUBRE
500PU0000101mroYAA,SUBRE
500PU0000101u1JYAQ,SUBRE
500PU0000101iZfYAI,SUBRE
500PU0000101enmYAA,SUBRE
500PU00001029jRYAQ,SUBRE
500PU0000101mbcYAA,SUBRE
500PU0000101YqRYAU,SUBRE
500PU00001024JyYAI,SUBRE
500PU0000101e7qYAA,SUBRE
500PU00001020JbYAI,SUBRE
500PU00001025khYAA,SUBRE
500PU00001024LbYAI,SUBRE
500PU0000101it7YAA,SUBRE
500PU00001023NvYAI,SUBRE
500PU000010128zYAA,SUBRO
500PU0000101V4eYAE,SUBRE
500PU00001029ZlYAI,SUBRO
500PU0000101h5nYAA,SUBRE
500PU0000101XRUYA2,SUBRE
500PU0000101n7xYAA,SUBRE
500PU0000101nSsYAI,SUBRE
500PU0000101sAqYAI,SUBRE
500PU0000101gCsYAI,SUBRE
500PU00001024TkYAI,SUBRE
500PU0000101ePcYAI,SUBRE
500PU0000101KPHYA2,SUBRE
500PU0000101QOJYA2,SUBRE
500PU0000101QZbYAM,SUBRE
500PU0000101SmiYAE,SUBRE
500PU0000101SOSYA2,SUBRE
500PU0000101xIZYAY,SUBRE
500PU0000101VR8YAM,SUBRE
500PU0000101g80YAA,SUBRE
500PU0000101efjYAA,SUBRE
500PU0000101o0hYAA,SUBRE
500PU00001029I1YAI,SUBRE
500PU0000101i1nYAA,SUBRE
500PU0000101PiRYAU,SUBRE
500PU0000101cFeYAI,SUBRE
500PU00001028nOYAQ,SUBRE
500PU0000101Eg0YAE,SUBRE
500PU0000101asIYAQ,SUBRE
500PU0000101YiLYAU,SUBRE
500PU0000101LtGYAU,SUBRE
500PU00001021HIYAY,SUBRE
500PU00001020BWYAY,SUBRE
500PU00001020jRYAQ,SUBRE
500PU00001021fSYAQ,SUBRE
500PU0000101i8CYAQ,SUBRE
500PU000010293VYAQ,SUBRE
500PU0000101aaUYAQ,SUBRE
500PU0000101nnpYAA,SUBRE
500PU0000101XuSYAU,SUBRE
500PU0000101aVgYAI,SUBRE
500PU0000101enlYAA,SUBRE
500PU0000101vzsYAA,SUBRE
500PU0000101aCJYAY,SUBRE
500PU00001025pXYAQ,SUBRE
500PU00001021FeYAI,SUBRE
500PU0000101QXtYAM,SUBRE
500PU00001028fJYAQ,SUBRE
500PU00001025XmYAI,SUBRE
500PU0000101haQYAQ,SUBRE
500PU0000101YiKYAU,SUBRE
500PU0000101AJWYA2,SUBRE
500PU0000101vIPYAY,SUBRE
500PU0000101aNcYAI,SUBRE
500PU0000101lPTYAY,SUBRE
500PU00000zygVxYAI,SUBRE
500PU0000101y3GYAQ,SUBRE
500PU0000101ycoYAA,SUBRE
500PU0000101xQfYAI,SUBRE
500PU0000101q7OYAQ,SUBRE
500PU000010254nYAA,SUBRE
500PU0000101LEvYAM,SUBRE
500PU0000101WwiYAE,SUBRE
500PU0000101nsdYAA,SUBRE
500PU0000101DSeYAM,SUBRE
500PU0000101AzRYAU,SUBRE
500PU0000101dhzYAA,SUBRE
500PU0000100yQTYAY,SUBRE
500PU0000101R2dYAE,SUBRE
500PU0000101tl7YAA,SUBRE
500PU0000101L2CYAU,SUBRE
500PU0000101nmDYAQ,SUBRE
500PU0000100dp0YAA,SUBRE
500PU0000101rrOYAQ,SUBRE
500PU0000100r2NYAQ,SUBRE
500PU0000101ZT7YAM,SUBRE
500PU0000101U6tYAE,SUBRE
500PU0000101td3YAA,SUBRE
500PU0000101aVeYAI,SUBRE
500PU0000101CYCYA2,SUBRE
500PU0000101KcHYAU,SUBRE
500PU0000100P9VYAU,SUBRE
500PU0000101DKaYAM,SUBRE
500PU0000101NQUYA2,SUBRE
500PU0000101s7XYAQ,SUBRE
500PU0000101MuBYAU,SUBRE
500PU0000101mBpYAI,SUBRE
500PU0000101lCUYAY,SUBRE
500PU0000101EbfYAE,SUBRE
500PU0000101W3qYAE,SUBRE
500PU0000101RIhYAM,SUBRE
500PU0000101tMvYAI,SUBRE
500PU0000101tLJYAY,SUBRE
500PU0000101HeQYAU,SUBRE
500PU0000101MNoYAM,SUBRE
500PU0000101TXSYA2,SUBRE
500PU0000101stvYAA,SUBRE
500PU00001013eaYAA,SUBRE
500PU0000100apbYAA,SUBRE
500PU0000101tA1YAI,SUBRE
500PU0000100lRYYAY,SUBRE
500PU0000101t6nYAA,SUBRE
500PU0000100zBCYAY,SUBRE
500PU0000101UmoYAE,SUBRE
500PU0000101s98YAA,SUBRE
500PU00001019nEYAQ,SUBRE
500PU00001017ypYAA,SUBRE
500PU0000101GNGYA2,SUBRE
500PU0000101dYOYAY,SUBRE
500PU0000100qENYAY,SUBRE
500PU0000100yALYAY,SUBRE
500PU0000101slqYAA,SUBRE
500PU0000101syjYAA,SUBRE
500PU0000100apaYAA,SUBRE
500PU0000101sx7YAA,SUBRE
500PU0000101NdLYAU,SUBRE
500PU0000101hSMYAY,SUBRE
500PU0000100xsWYAQ,SUBRE
500PU0000101CI5YAM,SUBRE
500PU0000101sttYAA,SUBRE
500PU0000101k5CYAQ,SUBRE
500PU0000101jnQYAQ,SUBRE
500PU0000101NF1YAM,SUBRE
500PU0000101nREYAY,SUBRE
500PU0000101WLYYA2,SUBRE
500PU0000101cM7YAI,SUBRE
500PU00001010QaYAI,SUBRE
500PU000010128yYAA,SUBRE
500PU0000101npPYAQ,SUBRE
500PU0000101iOLYAY,SUBRE
500PU0000101mmsYAA,SUBRE
500PU0000101avSYAQ,SUBRE
500PU0000100xvjYAA,SUBRE
500PU0000101WAHYA2,SUBRE
500PU0000100x6GYAQ,SUBRE
500PU0000101LTUYA2,SUBRE
500PU0000101skDYAQ,SUBRE
500PU0000101gSwYAI,SUBRE
500PU00001013WYYAY,SUBRE
500PU0000101Q4wYAE,SUBRE
500PU0000101IHEYA2,SUBRE
500PU0000101iMgYAI,SUBRE
500PU00001018paYAA,SUBRE
500PU0000101UgNYAU,SUBRE
500PU0000101X6NYAU,SUBRE
500PU0000100l8DYAQ,SUBRE
500PU0000101kbSYAQ,SUBRE
500PU0000101sdlYAA,SUBRE
500PU0000101sc9YAA,SUBRE
500PU0000100rNhYAI,SUBRE
500PU0000101l66YAA,SUBRE
500PU0000101saXYAQ,SUBRE
500PU0000101NlMYAU,SUBRE
500PU0000101sYvYAI,SUBRE
500PU0000100fdqYAA,SUBRE
500PU0000101UYHYA2,SUBRE
500PU0000101dYNYAY,SUBRE
500PU00000zydJdYAI,SUBRO
500PU000010186fYAA,SUBRE
500PU0000101psqYAA,SUBRE
500PU0000100smWYAQ,SUBRE
500PU0000101D4SYAU,SUBRE
500PU0000101rPyYAI,SUBRE
500PU0000101LWaYAM,SUBRE
500PU0000101kEoYAI,SUBRE
500PU0000101sXJYAY,SUBRE
500PU0000100vZ3YAI,SUBRE
500PU0000101sVhYAI,SUBRE
500PU0000101RYpYAM,SUBRE
500PU0000101a5oYAA,SUBRE
500PU0000101ff1YAA,SUBRE
500PU0000101IosYAE,SUBRE
500PU0000101JRjYAM,SUBRE
500PU0000100tfLYAQ,SUBRE
500PU0000100YUHYA2,SUBRE
500PU0000101ipjYAA,SUBRE
500PU0000101PYbYAM,SUBRE
500PU0000101p9eYAA,SUBRE
500PU0000101JQ1YAM,SUBRE
500PU0000101bI2YAI,SUBRE
500PU0000101kOUYAY,SUBRE
500PU0000101UhzYAE,SUBRE
500PU0000101sKPYAY,SUBRE
500PU0000101R95YAE,SUBRE
500PU00001013V3YAI,SUBRE
500PU0000101JEhYAM,SUBRE
500PU0000101IVdYAM,SUBRE
500PU0000101E5MYAU,SUBRE
500PU0000101lAtYAI,SUBRE
500PU0000100zZNYAY,SUBRE
500PU0000101gxfYAA,SUBRE
500PU0000101qdaYAA,SUBRE
500PU00001019QcYAI,SUBRE
500PU00001018WFYAY,SUBRE
500PU0000101q7LYAQ,SUBRO
500PU00001016hXYAQ,SUBRE
500PU00001018w0YAA,SUBRE
500PU0000101oIUYAY,SUBRE
500PU0000101PojYAE,SUBRE
500PU0000101oFEYAY,SUBRE
500PU0000101cvbYAA,SUBRE
500PU000010142uYAA,SUBRE
500PU0000101LjZYAU,SUBRE
500PU0000101oITYAY,SUBRE
500PU0000101nEIYAY,SUBRE
500PU0000101NAGYA2,SUBRE
500PU0000101PAUYA2,SUBRE
500PU00001016O3YAI,SUBRE
500PU0000101hnEYAQ,SUBRE
500PU0000101rg6YAA,SUBRE
500PU0000101p6RYAQ,SUBRE
500PU0000101IfiYAE,SUBRE
500PU00001017yoYAA,SUBRE
500PU0000101kWZYAY,SUBRE
500PU0000101I2dYAE,SUBRE
500PU0000101kZoYAI,SUBRE
500PU0000101rOMYAY,SUBRE
500PU0000101lPOYAY,SUBRE
500PU0000101b6gYAA,SUBRE
500PU0000101GAQYA2,SUBRE
500PU0000101BHAYA2,SUBRE
500PU0000101dOhYAI,SUBRE
500PU0000101p83YAA,SUBRE
500PU0000101UoPYAU,SUBRE
500PU0000101kd1YAA,SUBRE
500PU0000100rNgYAI,SUBRE
500PU0000101RKKYA2,SUBRE
500PU0000101C3tYAE,SUBRE
500PU0000101CQ8YAM,SUBRE
500PU00001019FLYAY,SUBRE
500PU0000101iJUYAY,SUBRE
500PU0000101F36YAE,SUBRE
500PU0000101m5LYAQ,SUBRE
500PU000010142tYAA,SUBRE
500PU0000101qqUYAQ,SUBRE
500PU0000101s2fYAA,SUBRE
500PU0000101khsYAA,SUBRE
500PU0000101SY5YAM,SUBRE
500PU0000101HjAYAU,SUBRE
500PU0000101ZJSYA2,SUBRE
500PU00001013TlYAI,SUBRE
500PU0000101gO7YAI,SUBRE
500PU0000101GPCYA2,SUBRE
500PU0000100q9YYAQ,SUBRE
500PU0000101Y0qYAE,SUBRE
500PU0000101lAsYAI,SUBRE
500PU0000101CI4YAM,SUBRE
500PU0000101Zo7YAE,SUBRE
500PU0000101n9SYAQ,SUBRE
500PU0000101kGTYAY,SUBRE
500PU0000101koJYAQ,SUBRE
500PU0000101aNXYAY,SUBRE
500PU00001019SHYAY,SUBRE
500PU0000101WyGYAU,SUBRE
500PU0000101HzeYAE,SUBRE
500PU0000101pROYAY,SUBRE
500PU0000101rrNYAQ,SUBRE
500PU0000101f3vYAA,SUBRE
500PU0000101lFjYAI,SUBRE
500PU0000101lysYAA,SUBRE
500PU0000101nr0YAA,SUBRE
500PU0000101hf9YAA,SUBRE
500PU0000101mDOYAY,SUBRE
500PU0000101ro9YAA,SUBRE
500PU0000101X1TYAU,SUBRE
500PU0000101kDGYAY,SUBRE
